date,container,dry_bulk,general_cargo,roro,tanker,cargo_total,total,cap_container_dwt,cap_dry_bulk_dwt,cap_general_cargo_dwt,cap_roro_dwt,cap_tanker_dwt
2025-10-22,15,13,5,8,58,41,99,187039,299138,8246,13599,3167611
2025-10-23,17,14,3,4,55,38,93,488805,459074,6900,11289,2645992
2025-10-24,19,22,4,2,71,47,118,685575,1217688,15839,8549,2434384
2025-10-25,18,18,6,3,68,45,113,512685,828787,29778,4776,3622719
2025-10-26,20,12,5,2,41,39,80,581822,421291,33076,0,2548983
2025-10-27,17,11,4,6,51,38,89,410780,459910,11089,2465,2442008
2025-10-28,31,21,3,3,71,58,129,815501,670390,11675,7997,2979192
2025-10-29,17,16,7,2,58,42,100,440437,396163,23349,6000,2449676
2025-10-30,15,14,7,7,42,43,85,447098,657061,32483,10416,2134991
2025-10-31,19,16,6,2,56,43,99,483758,422157,56605,2135,4082819
2025-11-01,17,13,2,1,55,33,88,440687,554284,12366,2342,2064402
2025-11-02,15,9,3,3,43,30,73,381823,431629,12347,0,1929112
2025-11-03,4,7,4,0,15,15,30,122228,260916,14556,0,438854
2025-11-04,9,8,2,2,38,21,59,245157,241496,17860,3706,1404930
2025-11-05,11,8,2,2,36,23,59,207934,238762,18705,0,2510242
2025-11-06,16,13,7,2,49,38,87,292623,447564,37226,6702,2218214
2025-11-07,16,19,6,3,50,44,94,390297,683720,24412,6702,3135684
2025-11-08,20,25,2,4,72,51,123,430969,621722,16823,7346,3915654
2025-11-09,13,10,3,4,56,30,86,279510,388871,33181,7346,3482241
2025-11-10,10,14,2,3,44,29,73,281569,781627,24274,7534,2061760
2025-11-11,20,12,5,2,60,39,99,319594,386563,19092,5780,2256665
2025-11-12,13,11,5,2,40,31,71,260408,313641,17795,847,1473268
2025-11-13,12,17,6,1,42,36,78,407665,651112,16676,0,2082407
2025-11-14,10,12,5,8,50,35,85,280415,520402,7796,9901,3242326
2025-11-15,14,15,3,3,45,35,80,376854,786679,7556,8398,2803891
2025-11-16,12,13,5,2,24,32,56,478207,505542,32366,0,962361
2025-11-17,9,7,3,1,33,20,53,234979,304825,27008,0,1353855
2025-11-18,8,7,3,4,31,22,53,208591,346091,16289,7176,1821907
2025-11-19,12,13,1,4,48,30,78,236638,564972,10550,19046,2280048
2025-11-20,13,7,2,3,55,25,80,358200,372826,724,9139,2706942
2025-11-21,9,8,1,1,39,19,58,316688,205947,1208,0,1675995
2025-11-22,10,13,3,2,36,28,64,189353,362121,12966,3491,1357911
2025-11-23,13,12,5,4,33,34,67,335619,272948,10987,6784,1141843
2025-11-24,14,8,3,4,30,29,59,385452,384182,3709,6534,1243561
2025-11-25,13,14,4,3,41,34,75,322129,656974,5569,2177,1704153
2025-11-26,7,12,6,3,34,28,62,198312,484289,34689,4634,1521052
2025-11-27,8,10,4,0,35,22,57,210980,357328,14371,0,2125050
2025-11-28,8,15,2,2,30,27,57,137217,547784,23884,7775,1443139
2025-11-29,14,8,2,1,29,25,54,301029,419280,8176,0,1142364
2025-11-30,9,8,8,1,39,26,65,200499,216878,51435,0,2787210
2025-12-01,8,16,10,0,40,34,74,206178,796480,63795,0,3349927
2025-12-02,13,16,3,2,34,34,68,488547,395818,15066,2375,1412492
2025-12-03,11,9,4,4,31,28,59,411452,480060,24346,12457,1587414
2025-12-04,10,5,2,0,35,17,52,537970,337538,12474,0,2109436
2025-12-05,2,15,2,0,36,19,55,2927,357316,21527,0,1300446
2025-12-06,13,16,1,4,46,34,80,324777,364876,16876,11389,1955064
2025-12-07,9,11,2,1,34,23,57,226237,700927,6856,3699,1517508
2025-12-08,13,17,2,5,39,37,76,455810,859305,14695,9120,1325305
2025-12-09,14,19,6,3,55,42,97,481290,590279,19148,7925,1900812
2025-12-10,6,10,7,1,35,24,59,311773,615929,36141,0,1052150
2025-12-11,8,11,6,2,36,27,63,216425,239978,14436,0,2032889
2025-12-12,6,10,4,2,29,22,51,66323,305438,14078,0,1488358
2025-12-13,9,6,4,2,32,21,53,314970,125178,58614,0,1809445
2025-12-14,8,5,3,0,42,16,58,302440,264303,9793,0,2544154
2025-12-15,13,13,3,4,23,33,56,317274,748229,13025,10975,1423276
2025-12-16,12,10,3,1,38,26,64,412910,475798,14749,7573,2001520
2025-12-17,4,5,4,1,32,14,46,65124,234002,5528,0,1315910
2025-12-18,11,11,4,1,41,27,68,516840,449986,8477,6492,2204155
2025-12-19,9,7,1,0,23,17,40,444380,192134,0,0,1169346
2025-12-20,11,15,4,2,25,32,57,387795,838075,18318,7645,1169573
2025-12-21,13,14,0,1,36,28,64,412109,842724,0,0,1018482
2025-12-22,4,9,5,2,27,20,47,137952,347733,29863,3150,858100
2025-12-23,10,7,1,2,13,20,33,324805,278583,13937,9878,1113473
2025-12-24,14,19,5,1,34,39,73,498086,904304,29917,3621,1099189
2025-12-25,9,18,5,4,26,36,62,314592,817547,13111,9853,1149095
2025-12-26,10,10,5,0,37,25,62,227796,443654,16473,0,2503352
2025-12-27,10,11,8,2,45,31,76,352607,398470,24564,5411,2021134
2025-12-28,5,13,5,2,23,25,48,90825,272112,20679,0,1598548
2025-12-29,13,5,6,3,34,27,61,619894,157325,23471,20747,802818
2025-12-30,16,12,7,3,42,38,80,474022,555861,24669,10383,1766483
2025-12-31,13,11,4,5,52,33,85,256387,236972,9256,10880,2166981
2026-01-01,24,7,4,4,39,39,78,803554,249490,36101,3992,2297725
2026-01-02,9,16,4,2,27,31,58,294324,659538,40393,0,1562902
2026-01-03,13,7,2,2,28,24,52,517085,746083,5384,0,1011537
2026-01-04,10,16,3,4,28,33,61,350208,835878,1819,20261,1414835
2026-01-05,13,11,8,0,34,32,66,430830,339390,20820,0,1948403
2026-01-06,15,5,8,4,38,32,70,357813,276037,54866,15133,995188
2026-01-07,13,14,5,3,53,35,88,318252,458220,32835,7824,2045098
2026-01-08,12,12,3,3,45,30,75,575348,484342,18437,9895,2536474
2026-01-09,12,16,6,5,50,39,89,403903,560676,17773,8308,3108586
2026-01-10,14,16,8,5,40,43,83,441598,435668,34334,1341,1412672
2026-01-11,22,12,5,5,39,44,83,794142,364904,13875,4889,2105864
2026-01-12,11,9,4,4,39,28,67,420849,307108,11450,8664,1716419
2026-01-13,14,13,8,3,34,38,72,498090,323308,16593,9024,1143290
2026-01-14,7,14,8,4,40,33,73,183490,476341,26295,19159,1636097
2026-01-15,15,13,5,3,42,36,78,622655,438112,35616,15048,2127519
2026-01-16,10,10,3,5,39,28,67,365359,547466,14885,14604,1559037
2026-01-17,6,10,4,1,27,21,48,252884,633820,7718,0,1213332
2026-01-18,13,12,8,4,25,37,62,526021,415389,42349,7527,1341986
2026-01-19,11,14,8,2,33,35,68,299368,1260749,60632,873,926797
2026-01-20,13,13,2,6,37,34,71,411799,1309072,16465,12539,1300282
2026-01-21,19,11,3,2,34,35,69,523740,536358,17369,6676,2520181
2026-01-22,7,16,5,4,41,32,73,239367,713838,43480,4013,1481859
2026-01-23,10,13,9,1,35,33,68,455080,494392,46279,4013,1357386
2026-01-24,11,12,5,4,24,32,56,311590,294766,29379,10976,907050
2026-01-25,11,9,7,3,48,30,78,269145,401633,43189,10976,2790838
2026-01-26,9,9,8,3,28,29,57,234307,476959,19705,2105,1566326
2026-01-27,21,7,6,3,35,37,72,577847,38852,19194,7622,1556260
2026-01-28,14,10,6,2,46,32,78,455964,286111,16631,8606,1791378
2026-01-29,15,11,8,3,51,37,88,463964,329411,35138,16863,2309923
2026-01-30,13,13,6,4,48,36,84,374149,528097,19777,0,1987117
2026-01-31,11,20,8,2,49,41,90,259422,1298848,47657,3793,2228666
2026-02-01,13,16,6,5,28,40,68,291445,544297,46985,8475,1153914
2026-02-02,11,8,6,4,48,29,77,405544,392145,27442,4411,2822308
2026-02-03,15,11,10,2,45,38,83,422184,493971,67443,2609,1790511
2026-02-04,11,11,7,1,21,30,51,236269,393156,27710,5042,983924
2026-02-05,15,17,6,2,36,40,76,644868,435593,20448,7838,1814047
2026-02-06,8,15,3,3,45,29,74,168876,626914,16149,12239,2124033
2026-02-07,7,15,2,1,46,25,71,152456,311115,7212,4621,2487346
2026-02-08,13,12,6,1,39,32,71,328845,360052,33334,4671,1188475
2026-02-09,4,14,3,3,38,24,62,140093,667550,9627,7593,1002564
2026-02-10,12,13,4,2,49,31,80,416488,667491,5682,1865,2942094
2026-02-11,12,17,7,2,54,38,92,326992,400537,32402,1254,1454258
2026-02-12,12,22,8,2,35,44,79,369880,740164,45278,3206,1818114
2026-02-13,23,23,5,5,65,56,121,777614,865113,4843,0,2783046
2026-02-14,22,23,6,3,69,54,123,731927,921727,14027,3793,3561811
2026-02-15,13,20,6,2,46,41,87,655945,783273,34375,4388,1642361
2026-02-16,8,7,6,2,39,23,62,178290,202131,37536,9009,1584410
2026-02-17,17,14,4,6,43,41,84,536981,732264,13122,7476,2491565
2026-02-18,18,19,7,4,50,48,98,401810,858315,25067,3852,2791648
2026-02-19,25,24,8,3,75,60,135,715816,1141066,38860,6223,4257843
2026-02-20,21,16,6,2,66,45,111,508209,754686,38947,0,3074888
2026-02-21,14,21,2,4,67,41,108,258469,525782,18090,5308,2599939
2026-02-22,33,23,7,6,83,69,152,825594,945604,36385,11946,3879234
2026-02-23,11,18,6,7,73,42,115,226589,643636,20272,15589,2948390
2026-02-24,12,12,2,6,32,32,64,452247,425157,3779,13867,1669159
2026-02-25,31,20,7,5,66,63,129,784889,720978,43855,0,4461976
2026-02-26,21,15,13,3,55,52,107,470510,583498,65259,0,1415483
2026-02-27,8,15,6,1,35,30,65,260760,468908,13932,0,914016
2026-02-28,7,12,2,1,35,22,57,154123,300921,16038,3493,2543517
2026-03-01,3,8,3,0,10,14,24,64346,325592,13807,0,446614
2026-03-02,0,4,0,0,2,4,6,0,61822,0,0,6701
2026-03-03,1,2,0,0,2,3,5,0,96964,0,0,6701
2026-03-04,0,2,0,0,0,2,2,0,44916,0,0,0
2026-03-05,0,2,1,0,1,3,4,0,69298,5901,0,0
2026-03-06,0,2,0,0,0,2,2,0,102287,0,0,0
2026-03-07,0,3,1,0,0,4,4,0,153583,0,0,0
2026-03-08,1,1,0,0,0,2,2,0,51168,0,0,0
2026-03-09,0,0,1,0,0,1,1,0,0,1599,0,0
2026-03-10,0,1,0,0,1,1,2,0,0,0,0,42122
2026-03-11,1,1,0,0,1,2,3,0,43477,0,0,51338
2026-03-12,1,0,0,0,0,1,1,0,0,0,0,0
2026-03-13,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-14,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-15,2,3,0,0,2,5,7,24093,0,0,0,339183
2026-03-16,2,3,0,0,0,5,5,24093,0,0,0,0
2026-03-17,2,0,1,0,1,3,4,24093,0,449,0,47804
2026-03-18,1,0,0,0,0,1,1,16819,0,0,0,0
2026-03-19,1,1,0,0,0,2,2,16819,0,0,0,0
2026-03-20,1,2,0,0,2,3,5,16819,74945,0,0,118692
2026-03-21,0,2,0,0,0,2,2,0,50822,0,0,0
2026-03-22,0,4,0,0,0,4,4,0,82211,0,0,0
2026-03-23,0,4,0,0,2,4,6,0,120046,0,0,48834
2026-03-24,0,2,1,0,1,3,4,0,0,12988,0,0
2026-03-25,0,2,1,0,1,3,4,0,0,12988,0,0
2026-03-26,0,6,1,0,0,7,7,0,73148,12988,0,0
2026-03-27,0,4,1,0,0,5,5,0,68784,12988,0,0
2026-03-28,0,7,1,0,1,8,9,0,163730,12988,0,5464
2026-03-29,0,2,3,0,2,5,7,0,117202,17438,0,5464
2026-03-30,2,0,3,0,5,5,10,107592,0,17438,0,4062
2026-03-31,1,1,4,0,5,6,11,6722,0,24140,0,74905
2026-04-01,0,5,3,0,3,8,11,0,129675,17610,0,74905
2026-04-02,0,2,3,0,1,5,6,0,90660,17610,0,0
2026-04-03,0,1,3,0,5,4,9,0,50383,17610,0,97195
2026-04-04,1,6,2,0,4,9,13,25200,71283,15269,0,38238
2026-04-05,1,3,2,0,5,6,11,25200,81521,15269,0,264106
2026-04-06,2,4,2,0,1,8,9,28705,155084,12988,0,0
2026-04-07,1,2,1,0,3,4,7,3504,95262,12988,0,69890
2026-04-08,0,4,1,0,1,5,6,0,86638,12988,0,141855
2026-04-09,0,2,1,0,5,3,8,0,51274,12988,0,164591
2026-04-10,0,3,1,0,1,4,5,0,0,12988,0,21001
2026-04-11,1,3,1,0,4,5,9,70087,44690,12988,0,287665
2026-04-12,2,8,1,0,4,11,15,90024,154589,12988,0,33937
2026-04-13,2,1,2,0,4,5,9,102161,0,12988,0,36638
2026-04-14,2,2,0,0,5,4,9,122240,31086,0,0,79555
2026-04-15,3,3,0,0,7,6,13,144975,314972,0,0,54951
2026-04-16,1,5,0,0,5,6,11,3441,0,0,0,129222
2026-04-17,2,6,0,0,10,8,18,95556,0,0,0,147901
2026-04-18,4,4,0,0,14,8,22,127378,184207,0,0,586984
2026-04-19,1,0,1,0,5,2,7,24546,0,4793,0,149988
2026-04-20,2,0,1,0,5,3,8,44248,0,4793,0,145835
2026-04-21,1,0,0,0,3,1,4,20333,0,0,0,109256
2026-04-22,2,1,0,0,4,3,7,72964,47075,0,0,67426
2026-04-23,0,1,0,0,2,1,3,0,33377,0,0,67426
2026-04-24,0,2,3,0,3,5,8,0,92168,901,0,67426
2026-04-25,0,1,3,0,2,4,6,0,53679,901,0,77025
2026-04-26,0,0,1,0,2,1,3,0,0,11122,0,34143
2026-04-27,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28,0,1,2,0,2,3,5,0,46585,13090,0,323392
2026-04-29,0,1,1,0,3,2,5,0,314972,591,0,11036
2026-04-30,1,2,0,0,4,3,7,0,62843,0,0,64253
2026-05-01,1,3,2,0,4,6,10,0,95476,692,0,83813
2026-05-02,0,3,2,0,5,5,10,0,62843,6529,0,93041
2026-05-03,0,3,2,0,1,5,6,0,120547,7250,0,0
2026-05-04,1,2,1,0,0,4,4,12784,7033,899,0,0
2026-05-05,0,1,0,0,0,1,1,0,5650,0,0,0
2026-05-06,0,2,0,0,0,2,2,0,7033,0,0,0
2026-05-07,0,3,0,0,1,3,4,0,36932,0,0,0
2026-05-08,0,3,0,0,1,3,4,0,133007,0,0,38238
2026-05-09,0,3,0,0,2,3,5,0,133007,0,0,136764
2026-05-10,1,5,0,0,3,6,9,7273,263931,0,0,357615
2026-05-11,0,5,0,0,4,5,9,0,159388,0,0,88456
2026-05-12,0,3,1,1,1,5,6,0,133007,344,0,0
2026-05-13,0,3,2,1,2,6,8,0,133007,1425,0,349804
2026-05-14,1,3,1,0,4,5,9,16699,133007,675,0,42976
2026-05-15,0,2,1,0,2,3,5,0,133007,10961,0,5341
2026-05-16,0,5,3,0,2,8,10,0,210940,12433,0,41921
2026-05-17,0,2,1,0,2,3,5,0,136923,10961,0,13968
2026-05-18,1,2,2,0,1,5,6,1990,136923,692,0,13968
2026-05-19,1,2,1,0,3,4,7,38979,136923,0,0,570517
2026-05-20,2,5,1,0,5,8,13,23766,272506,0,0,588209
2026-05-21,1,3,2,0,2,6,8,19702,167598,721,0,42682
2026-05-22,0,5,1,0,0,6,6,0,188197,0,0,0
2026-05-23,0,5,2,0,1,7,8,0,186248,324,0,284471
2026-05-24,0,6,1,0,2,7,9,0,217818,0,0,6839
2026-05-25,1,4,2,0,0,7,7,16699,136923,749,0,0
2026-05-26,0,4,1,0,2,5,7,0,136923,0,0,0
2026-05-27,0,3,1,0,2,4,6,0,136923,0,0,106096
2026-05-28,0,3,1,0,0,4,4,0,201462,692,0,0
2026-05-29,0,2,1,1,0,4,4,0,136923,692,6056,0
2026-05-30,0,3,1,0,1,4,5,0,97080,0,0,0
2026-05-31,0,2,1,0,0,3,3,0,44505,329,0,0
2026-06-01,0,1,0,0,2,1,3,0,52053,0,0,38238
2026-06-02,0,1,0,1,4,2,6,0,32472,0,6245,37590
2026-06-03,0,4,2,1,4,7,11,0,134412,1186,6245,12593
2026-06-04,0,1,3,0,2,4,6,0,0,1047,0,8271
2026-06-05,0,1,2,0,0,3,3,0,0,1047,0,0
2026-06-06,0,3,0,0,0,3,3,0,93370,0,0,0
2026-06-07,1,1,0,0,1,2,3,12784,40897,0,0,0
2026-06-08,2,1,3,0,2,6,8,41108,0,13545,0,50124
2026-06-09,0,2,2,0,2,4,6,0,61289,11821,0,48671
2026-06-10,0,2,3,0,1,5,6,0,0,13825,0,5341
2026-06-11,0,3,2,0,2,5,7,0,69303,11637,0,11142
2026-06-12,0,3,3,0,1,6,7,0,69303,12761,0,11375
2026-06-13,0,4,0,0,0,4,4,0,95684,0,0,0
2026-06-14,0,6,0,0,0,6,6,0,218720,0,0,0
2026-06-15,0,7,3,0,1,10,11,0,277770,1089,0,0
2026-06-16,3,5,2,0,2,10,12,54681,169396,2864,0,35583
2026-06-17,3,8,3,0,1,14,15,54288,213670,15405,0,4593
2026-06-18,2,8,1,0,11,11,22,37120,419564,10961,0,459872
2026-06-19,2,3,3,0,5,8,13,48415,156925,12352,0,889755
2026-06-20,2,7,5,0,12,14,26,51891,326151,49364,0,543037
2026-06-21,1,3,3,0,1,7,8,0,136938,16931,0,65755
2026-06-22,0,4,1,0,9,5,14,0,145002,0,0,618208
2026-06-23,2,5,3,0,5,10,15,47232,171205,3699,0,839231
2026-06-24,7,20,2,1,21,30,51,106266,655050,1510,0,1546046
2026-06-25,9,14,4,0,23,27,50,95536,580212,12968,0,1383947
2026-06-26,3,10,5,0,19,18,37,49173,363800,31118,0,708895
2026-06-27,5,7,6,0,9,18,27,165948,272380,56790,0,552718
2026-06-28,4,2,3,0,11,9,20,144356,119531,21719,0,448071
2026-06-29,6,9,3,0,13,18,31,106871,365934,27949,0,1131108
2026-06-30,2,10,3,0,6,15,21,54426,437079,22595,0,264380
2026-07-01,5,8,4,0,23,17,40,72556,248849,12346,0,1720088
2026-07-02,6,7,3,0,18,16,34,82846,298898,1667,0,565406
2026-07-03,2,6,2,0,21,10,31,31541,296800,1863,0,1127426
2026-07-04,4,4,3,0,11,11,22,86174,119464,2208,0,360954
2026-07-05,4,5,1,0,16,10,26,86174,110578,749,0,782230
2026-07-06,4,5,3,2,14,14,28,88876,154293,1442,0,2066636
2026-07-07,2,8,2,4,12,16,28,26554,161561,13019,0,1210489
2026-07-08,2,5,3,0,5,10,15,22949,137700,21083,0,286101
2026-07-09,2,2,3,0,4,7,11,6463,100711,14556,0,45539
2026-07-10,1,2,2,0,4,5,9,41253,70472,3594,0,56979
2026-07-11,2,3,1,0,4,6,10,39024,109979,569,0,167273
2026-07-12,2,0,3,0,1,5,6,39024,0,1561,0,58739
2026-07-13,3,1,3,0,2,7,9,60471,0,1316,0,42247
2026-07-14,3,2,1,0,5,6,11,98940,50940,107,0,45089
2026-07-15,3,3,1,0,5,7,12,99629,191547,749,0,42685
2026-07-16,4,2,2,0,2,8,10,105953,66636,1449,0,0
2026-07-17,2,3,3,0,3,8,11,63665,99109,17602,0,1231
2026-07-18,3,5,3,0,6,11,17,77746,253608,17602,0,76153
2026-07-19,4,2,4,1,4,11,15,74735,66636,1691,341,39216
